Category,Vendor Name,File Name
Clothing and Apparel,COSTCO WHOLESALE,3ea4385b-572f-42f7-98ec-d6585a53297d_prompttemplate2.json
Clothing and Apparel,Foodland Farms,5a5f8f69-651c-4e77-b717-d1b245cb7034_prompttemplate2.json
Clothing and Apparel,H MART,5ca657d1-3e7f-4c13-b9f7-d03e29677db9_prompttemplate2.json
Clothing and Apparel,H-MART,4c0726db-cd68-499a-9cf6-e52dd57baefa_prompttemplate2.json
Clothing and Apparel,Honolulu Store,8de3bfc9-9422-4662-ad88-5a654717ff8d_prompttemplate2.json
Clothing and Apparel,Kahala,0f991ed9-0ddf-4b3b-9b91-078e9c48055d_prompttemplate2.json
Clothing and Apparel,LILIHA BAKERY,2e129ed6-0ee7-4dda-9b5c-c871106e5029_prompttemplate2.json
Clothing and Apparel,Longs,1c4a28f3-3a87-4573-93e9-e71ba8ad06ba_prompttemplate2.json
Clothing and Apparel,Longs,30ae33b7-518d-43af-a950-1d22ebef2b3c_prompttemplate2.json
Clothing and Apparel,ROSS DRESS FOR LESS,4e00e015-80b1-482d-b153-6742be0fa1ce_prompttemplate2.json
Clothing and Apparel,Ralphs,8e7e79a2-1397-4230-bf37-4792e53dac38_prompttemplate2.json
Clothing and Apparel,SAFEWAY,09fbf90c-47d3-4c7c-87b8-07ea6ac6cc36_prompttemplate2.json
Clothing and Apparel,SAFEWAY,3ec4c0f9-39d9-42d8-8d7e-a41065ee6b9f_prompttemplate2.json
Clothing and Apparel,SAFEWAY,5eda6ba8-4e31-4f45-b785-274edcfd8bd1_prompttemplate2.json
Clothing and Apparel,SAFEWAY,8b82f978-b6c9-424e-8be5-5f2479450131_prompttemplate2.json
Clothing and Apparel,SAFEWAY,9b286dd3-a1c2-4df0-ba0f-a23d80e46e40_prompttemplate2.json
Clothing and Apparel,SAFEWAY O,18db2bf7-f499-41d0-9a38-e4a543656eb5_prompttemplate2.json
Clothing and Apparel,Store 215 Dir Dane Elder,06e71ba6-7a25-464e-b582-fa2383cc2598_prompttemplate2.json
