Category,Vendor Name,File Name
Clothing and Apparel,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""EVIAN WATER LTR"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 3.49, ""unitPrice"": 3.49}], ""address"": ""1450 ALA MOANA BLVD HONOLULU, HI 96814"", ""city"": ""HONOLULU"", ""merchant"": ""ABC STORES"", ""phoneNumber"": ""(808) 952-5334"", ""receiptDate"": ""JUL 22 2023"", ""receiptTime"": ""20:02"", ""state"": ""HI"", ""tax"": 0.16, ""total"": 3.71}}",18
Clothing and Apparel,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""FOUNTAIN DRNK"", ""quantity"": 1, ""totalPrice"": 1.69, ""unitPrice"": 1.69}, {""description"": ""AMB BENTO SPCY CKN"", ""quantity"": 1, ""totalPrice"": 0, ""unitPrice"": 0}], ""address"": ""1450 Ala Moana Blvd, Suite 8000 Honolulu, HI 96814"", ""city"": ""Honolulu"", ""merchant"": ""Foodland"", ""phoneNumber"": ""808-949-5044"", ""receiptDate"": ""10/15/23"", ""receiptTime"": ""09:04pm"", ""state"": ""HI"", ""tax"": 0.46, ""total"": 10.14}}",79
Clothing and Apparel,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""FT CUSHION VISTA VINTAGE"", ""quantity"": 1, ""totalPrice"": 55.0, ""unitPrice"": 55.0}, {""description"": ""BAG FEE"", ""quantity"": 1, ""totalPrice"": 0.15, ""unitPrice"": 0.15}], ""address"": ""Ala Moana Shopping Center 1450 Ala Moana Blvd Honolulu, HI 96814"", ""city"": ""Honolulu"", ""merchant"": ""T&C Surf Designs Ala Moana"", ""phoneNumber"": ""808.973.5199"", ""receiptDate"": ""10/15/2023"", ""receiptTime"": ""12:20:46 PM"", ""state"": ""HI"", ""tax"": 2.6, ""total"": 57.75}}",71
Clothing and Apparel,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""Jg striped brianna sweate"", ""quantity"": 1, ""totalPrice"": 38.0, ""unitPrice"": 38.0}], ""address"": ""ALA MOANA CENTER, HI 1450 ALA MOANA BL #3224 HONOLULU, HI 96814"", ""city"": ""HONOLULU"", ""merchant"": ""PACS UN"", ""phoneNumber"": ""808-943-9317"", ""receiptDate"": ""10/8/23"", ""receiptTime"": ""6:50 PM"", ""state"": ""HI"", ""tax"": 1.79, ""total"": 40.0}}",21
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [], ""address"": ""2334 S KING ST HONOLULU, HI 96826"", ""city"": ""HONOLULU"", ""merchant"": ""KOZO SUSHI MOILIILI"", ""phoneNumber"": ""(808) 951-5698"", ""receiptDate"": ""05/14/22"", ""receiptTime"": ""11:50:15"", ""state"": ""HI"", ""tax"": null, ""total"": 14.55}}",14
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [], ""address"": ""6600 KALANIANAOLE HWY ST HONOLULU, HI 96825"", ""city"": ""HONOLULU"", ""merchant"": ""DRIVER LICENSE HAWAII KA"", ""phoneNumber"": ""(808) 768-4800"", ""receiptDate"": ""05/03/22"", ""receiptTime"": ""12:48:17"", ""state"": ""HI"", ""tax"": null, ""total"": 40.94}}",25
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [], ""address"": ""STE 2041960 KAPIOLANI BLVD HONOLULU, HI 968263975"", ""city"": ""HONOLULU"", ""merchant"": ""PHO 777"", ""phoneNumber"": ""8089557770"", ""receiptDate"": ""26-Oct-2022"", ""receiptTime"": ""7:07:53P"", ""state"": ""HI"", ""tax"": null, ""total"": 44.47}}",7
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""#18. Lamb Salad"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 13.99, ""unitPrice"": 13.99}], ""address"": ""240 EAST DELAWARE AVENUE NEWARK, DE 19711"", ""city"": ""NEWARK"", ""merchant"": ""Halal Gyro Kabob House"", ""phoneNumber"": ""4439937029"", ""receiptDate"": ""06-Jul-2023"", ""receiptTime"": ""7:57:49P"", ""state"": ""DE"", ""tax"": null, ""total"": 16.09}}",65
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""071200630 THAT'S IT"", ""quantity"": 2, ""totalPrice"": 8.94, ""unitPrice"": 4.47}, {""description"": ""231000978 GENERALMILLS"", ""quantity"": 1, ""totalPrice"": 5.79, ""unitPrice"": 5.79}, {""description"": ""288030240 CPK"", ""quantity"": 1, ""totalPrice"": 6.49, ""unitPrice"": 6.49}, {""description"": ""071100984 GG CRACKER"", ""quantity"": 1, ""totalPrice"": 2.99, ""unitPrice"": 2.99}, {""description"": ""284101092 CHOBANI"", ""quantity"": 2, ""totalPrice"": 2.0, ""unitPrice"": 1.0}, {""description"": ""284101095 CHOBANI"", ""quantity"": 2, ""totalPrice"": 2.0, ""unitPrice"": 1.0}, {""description"": ""284100221 CHOBANI"", ""quantity"": 1, ""totalPrice"": 1.0, ""unitPrice"": 1.0}, {""description"": ""271550378 ALANI"", ""quantity"": 2, ""totalPrice"": 5.0, ""unitPrice"": 2.5}, {""description"": ""Bottle Deposit Fee"", ""quantity"": null, ""totalPrice"": 0.06, ""unitPrice"": 0.06}, {""description"": ""271550378 ALANI"", ""quantity"": 2, ""totalPrice"": 5.0, ""unitPrice"": 2.5}, {""description"": ""Bottle Deposit Fee"", ""quantity"": null, ""totalPrice"": 0.06, ""unitPrice"": 0.06}, {""description"": ""284110730 GG CHEESE"", ""quantity"": 1, ""totalPrice"": 4.29, ""unitPrice"": 4.29}, {""description"": ""094040045 BENADRYL"", ""quantity"": null, ""totalPrice"": 8.79, ""unitPrice"": 8.79}, {""description"": ""049004698 Method BW"", ""quantity"": null, ""totalPrice"": 11.99, ""unitPrice"": 11.99}, {""description"": ""245093516 Rohto"", ""quantity"": null, ""totalPrice"": 10.99, ""unitPrice"": 10.99}, {""description"": ""200080762 Reduce"", ""quantity"": null, ""totalPrice"": 13.99, ""unitPrice"": 13.99}, {""description"": ""088010058 FranklinSprt"", ""quantity"": null, ""totalPrice"": 2.29, ""unitPrice"": 2.29}, {""description"": ""234262323 BULLSEYE'S A"", ""quantity"": null, ""totalPrice"": 1.0, ""unitPrice"": 1.0}], ""address"": ""1450 Ala Moana Blvd, Ste 2401 Honolulu, Hawaii 96814-4604"", ""city"": ""Honolulu"", ""merchant"": ""Oahu Honolulu Ala Moana"", ""phoneNumber"": ""808-206-7162"", ""receiptDate"": ""10/21/2023"", ""receiptTime"": ""12:09 PM"", ""state"": ""Hawaii"", ""tax"": 3.92, ""total"": 87.27}}",101
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""088039828 ProCat"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 29.99, ""unitPrice"": 29.99}, {""description"": ""088036622 ProCat Puna"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 15.99, ""unitPrice"": 15.99}], ""address"": ""1450 Ala Moana Blvd, Ste 2401, <UNKNOWN> Hawaii 96814-4604"", ""city"": ""<UNKNOWN>"", ""merchant"": ""Oahu Honolulu Ala Moana"", ""phoneNumber"": ""808-206-7162"", ""receiptDate"": ""08/24/2022"", ""receiptTime"": ""06:52 PM"", ""state"": ""Hawaii"", ""tax"": 2.17, ""total"": 48.15}}",13
